#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;,,,,,,,,,,
### RELIGIOUS EVENTS ###
# FIRST RAVEN EVENTS #
EVTTITLE_ROBMODNORSE_00041;The Godslaws;Les lois des Dieux;Die Gesetze der Götter;;Las leyes de los dioses;;;;;;;;;x,,,,,,,,,,
EVTDESC_ROBMODNORSE_20203_DIPLO;\n\nBorn of [Root.Father.GetFirstName], of the House [Root.Father.GetOnlyDynastyName],\nfrom a noble seed springs a sapling strong,\nbut more steadfast still,\nare the branches grown,\nwhen from noble birth,\nblooms a noble voice.\n\nSo begins inn-[Root.GetFirstName]smál, using the metaphor of a growing oak tree to describe the powerful alliances you have forged. The poet has a great power indeed: however much of the ballad is true and however much is fabrication matters not, when you open your eyes the gathering looks to you with adoration.;Né de [Root.Father.GetFirstName] de la maison [Root.Father.GetOnlyDynastyName],\nà partir d'une graine noble, émet une forte sapling,\n\nSo commence inn-[Root.GetFirstName]smál, et comme [FromFrom.GetFirstNameWithNick] récite les nombreux versets à votre cour, votre cœur est agité au-delà du compte rendu. Le poète a une grande puissance: la majeure partie de la ballade est vraie et il est important que la fabrication ne fasse pas grand chose, lorsque vous ouvrez les yeux, le rassemblement vous regarde avec adoration.;Geboren von [Root.Father.GetFirstName] des Hauses [Root.Father.GetOnlyDynastyName],\nvon einem edlen Samen entspringt ein Bäumchen stark,\n\nSo beginnt Inn-[Root.GetFirstName]smál, und als [FromFrom.GetFirstNameWithNick] rezitiert Die vielen Verse zu deinem Hof, dein Herz ist über die Abrechnung gerührt. Der Dichter hat eine große Macht in der Tat: aber viel von der Ballade ist wahr und aber viel Fertigung zählt nicht, wenn du deine Augen öffnest, sammelt die Versammlung dir mit Anbetung.;;Nacido de [Root.Father.GetFirstName] de la Casa [Root.Father.GetOnlyDynastyName],\nde una semilla noble emana un árbol fuerte,\n\nComienza inn-[Root.GetFirstName]smál y como [FromFrom.GetFirstNameWithNick] recita los muchos versos a tu corte, tu corazón se mueve más allá de la cuenta. El poeta tiene un gran poder: sin embargo, gran parte de la balada es verdadera y, sin importar cuánto importe a la fabricación, al abrir los ojos la reunión te mira con adoración.;;;;;;;;;x
EVTDESC_ROBMODNORSE_20203_MARTIAL;\n\nBorn of [Root.Father.GetFirstName], of the House [Root.Father.GetOnlyDynastyName],\nfrom a noble seed springs a sapling strong,\nbut deeper still,\ndo the roots grip tight,\nwhen from noble-birth,\nblooms a noble’s might.\n\nSo begins inn-[Root.GetFirstName]smál, playing on the metaphor of a powerful oak tree to recount your strength in battle. The poet has a great power indeed: however much of the ballad is true and however much is fabrication matters not, when you open your eyes the gathering looks to you with adoration.;Né de [Root.Father.GetFirstName] de la maison [Root.Father.GetOnlyDynastyName],\nà partir d'une graine noble, émet une forte sapling,\n\nNé de [Root.Father.GetFirstName], [Root.Father.GetPrimaryTitles],\nà partir d'une graine noble, émet une forte sapling,\n\nSo commence inn-[Root.GetFirstName]smál, et comme [FromFrom.GetFirstNameWithNick] récite les nombreux versets à votre cour, votre cœur est agité au-delà du compte rendu. Le poète a une grande puissance: la majeure partie de la ballade est vraie et il est important que la fabrication ne fasse pas grand chose, lorsque vous ouvrez les yeux, le rassemblement vous regarde avec adoration.;Geboren von [Root.Father.GetFirstName] des Hauses [Root.Father.GetOnlyDynastyName],\nvon einem edlen Samen entspringt ein Bäumchen stark,\n\nSo beginnt Inn-[Root.GetFirstName]smál, und als [FromFrom.GetFirstNameWithNick] rezitiert Die vielen Verse zu deinem Hof, dein Herz ist über die Abrechnung gerührt. Der Dichter hat eine große Macht in der Tat: aber viel von der Ballade ist wahr und aber viel Fertigung zählt nicht, wenn du deine Augen öffnest, sammelt die Versammlung dir mit Anbetung.;;Nacido de [Root.Father.GetFirstName] de la Casa [Root.Father.GetOnlyDynastyName],\nde una semilla noble emana un árbol fuerte,\n\nComienza inn-[Root.GetFirstName]smál y como [FromFrom.GetFirstNameWithNick] recita los muchos versos a tu corte, tu corazón se mueve más allá de la cuenta. El poeta tiene un gran poder: sin embargo, gran parte de la balada es verdadera y, sin importar cuánto importe a la fabricación, al abrir los ojos la reunión te mira con adoración.;;;;;;;;;x
EVTDESC_ROBMODNORSE_20203_STEW;\n\nBorn of [Root.Father.GetFirstName], of the House [Root.Father.GetOnlyDynastyName],\nfrom a noble seed springs a sapling strong,\nbut more shelter still,\ndoth the great tree bring,\nwhen from noble birth,\nblooms a noble heart.\n\nSo begins inn-[Root.GetFirstName]smál, going on to describe a virtuous protection for your people. The poet has a great power indeed: however much of the ballad is true and however much is fabrication matters not, when you open your eyes the gathering looks to you with adoration.;Né de [Root.Father.GetFirstName] de la maison [Root.Father.GetOnlyDynastyName],\nà partir d'une graine noble, émet une forte sapling,\n\nSo commence inn-[Root.GetFirstName]smál, et comme [FromFrom.GetFirstNameWithNick] récite les nombreux versets à votre cour, votre cœur est agité au-delà du compte rendu. Le poète a une grande puissance: la majeure partie de la ballade est vraie et il est important que la fabrication ne fasse pas grand chose, lorsque vous ouvrez les yeux, le rassemblement vous regarde avec adoration.;Geboren von [Root.Father.GetFirstName] des Hauses [Root.Father.GetOnlyDynastyName],\nvon einem edlen Samen entspringt ein Bäumchen stark,\n\nSo beginnt Inn-[Root.GetFirstName]smál, und als [FromFrom.GetFirstNameWithNick] rezitiert Die vielen Verse zu deinem Hof, dein Herz ist über die Abrechnung gerührt. Der Dichter hat eine große Macht in der Tat: aber viel von der Ballade ist wahr und aber viel Fertigung zählt nicht, wenn du deine Augen öffnest, sammelt die Versammlung dir mit Anbetung.;;Nacido de [Root.Father.GetFirstName] de la Casa [Root.Father.GetOnlyDynastyName],\nde una semilla noble emana un árbol fuerte,\n\nComienza inn-[Root.GetFirstName]smál y como [FromFrom.GetFirstNameWithNick] recita los muchos versos a tu corte, tu corazón se mueve más allá de la cuenta. El poeta tiene un gran poder: sin embargo, gran parte de la balada es verdadera y, sin importar cuánto importe a la fabricación, al abrir los ojos la reunión te mira con adoración.;;;;;;;;;x
EVTDESC_ROBMODNORSE_20203_INT;\n\nBorn of [Root.Father.GetFirstName], of the House [Root.Father.GetOnlyDynastyName],\nfrom a noble seed springs a sapling strong,\nbut further still,\ndoth the tendrils stretch,\nwhen from noble birth,\nblooms a cunning mind.\n\nSo begins inn-[Root.GetFirstName]smál, going on to describe your powerful grasp over court politics. The poet has a great power indeed: however much of the ballad is true and however much is fabrication matters not, when you open your eyes the gathering looks to you with adoration.;Né de [Root.Father.GetFirstName] de la maison [Root.Father.GetOnlyDynastyName],\nà partir d'une graine noble, émet une forte sapling,\n\nSo commence inn-[Root.GetFirstName]smál, et comme [FromFrom.GetFirstNameWithNick] récite les nombreux versets à votre cour, votre cœur est agité au-delà du compte rendu. Le poète a une grande puissance: la majeure partie de la ballade est vraie et il est important que la fabrication ne fasse pas grand chose, lorsque vous ouvrez les yeux, le rassemblement vous regarde avec adoration.;Geboren von [Root.Father.GetFirstName] des Hauses [Root.Father.GetOnlyDynastyName],\nvon einem edlen Samen entspringt ein Bäumchen stark,\n\nSo beginnt Inn-[Root.GetFirstName]smál, und als [FromFrom.GetFirstNameWithNick] rezitiert Die vielen Verse zu deinem Hof, dein Herz ist über die Abrechnung gerührt. Der Dichter hat eine große Macht in der Tat: aber viel von der Ballade ist wahr und aber viel Fertigung zählt nicht, wenn du deine Augen öffnest, sammelt die Versammlung dir mit Anbetung.;;Nacido de [Root.Father.GetFirstName] de la Casa [Root.Father.GetOnlyDynastyName],\nde una semilla noble emana un árbol fuerte,\n\nComienza inn-[Root.GetFirstName]smál y como [FromFrom.GetFirstNameWithNick] recita los muchos versos a tu corte, tu corazón se mueve más allá de la cuenta. El poeta tiene un gran poder: sin embargo, gran parte de la balada es verdadera y, sin importar cuánto importe a la fabricación, al abrir los ojos la reunión te mira con adoración.;;;;;;;;;x
EVTDESC_ROBMODNORSE_20203_LEARN;\n\nBorn of [Root.Father.GetFirstName], of the House [Root.Father.GetOnlyDynastyName],\nfrom a noble seed springs a sapling strong,\nbut more gracious still,\ndoth the great tree bloom,\nwhen from noble birth,\ngrows a learnèd mind.\n\nSo begins inn-[Root.GetFirstName]smál, going on to describe your great wisdom and knowledge. The poet has a great power indeed: however much of the ballad is true and however much is fabrication matters not, when you open your eyes the gathering looks to you with adoration.;Né de [Root.Father.GetFirstName] de la maison [Root.Father.GetOnlyDynastyName],\nà partir d'une graine noble, émet une forte sapling,\n\nSo commence inn-[Root.GetFirstName]smál, et comme [FromFrom.GetFirstNameWithNick] récite les nombreux versets à votre cour, votre cœur est agité au-delà du compte rendu. Le poète a une grande puissance: la majeure partie de la ballade est vraie et il est important que la fabrication ne fasse pas grand chose, lorsque vous ouvrez les yeux, le rassemblement vous regarde avec adoration.;Geboren von [Root.Father.GetFirstName] des Hauses [Root.Father.GetOnlyDynastyName],\nvon einem edlen Samen entspringt ein Bäumchen stark,\n\nSo beginnt Inn-[Root.GetFirstName]smál, und als [FromFrom.GetFirstNameWithNick] rezitiert Die vielen Verse zu deinem Hof, dein Herz ist über die Abrechnung gerührt. Der Dichter hat eine große Macht in der Tat: aber viel von der Ballade ist wahr und aber viel Fertigung zählt nicht, wenn du deine Augen öffnest, sammelt die Versammlung dir mit Anbetung.;;Nacido de [Root.Father.GetFirstName] de la Casa [Root.Father.GetOnlyDynastyName],\nde una semilla noble emana un árbol fuerte,\n\nComienza inn-[Root.GetFirstName]smál y como [FromFrom.GetFirstNameWithNick] recita los muchos versos a tu corte, tu corazón se mueve más allá de la cuenta. El poeta tiene un gran poder: sin embargo, gran parte de la balada es verdadera y, sin importar cuánto importe a la fabricación, al abrir los ojos la reunión te mira con adoración.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20203;Wonderful! It must be retold across the [Root.PrimaryTitle.GetFullBaseName].;Formidable! Il doit être reproduit à travers le [Root.PrimaryTitle.GetFullBaseName].;Wunderbar! Es muss über den [Root.PrimaryTitle.GetFullBaseName] wiederholt werden.;;¡Maravilloso! Debe ser recontado a través del [Root.PrimaryTitle.GetFullBaseName].;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_20203;Pay bards to recite the poem in every village in the land;Payez les bardes pour réciter le poème dans chaque village de la terre;Bart bezahlen, um das Gedicht in jedem Dorf im Land zu rezitieren;;Pagar bardos para recitar el poema en cada aldea en la tierra;;;;;;;;;x
EVTOPTB_ROBMODNORSE_20203;Isn’t it a little too... grandiose?;N'est-ce pas un peu trop ... grandiose?;Ist es nicht ein bisschen ... grandios?;;¿No es un poco demasiado ... grandioso?;;;;;;;;;x
EVTTOOLTIPB_ROBMODNORSE_20203;Keep the ballad to yourself;Gardez la ballade à vous-même;Halten Sie die Ballade für sich selbst;;Guárdate la balada;;;;;;;;;x
EVTDESC_ROBMODNORSE_20204;The Wandering Skáld has moved on from your court, taking to the road once more. In his chambers he leaves you a note thanking you for your patronage, along with a vial of a strange brew that could hold the secret to his literary prowess...;Le skáld errant [FromFromFrom.GetFirstName] est passé de votre cour, en prenant à nouveau la route. Dans ses chambres, il vous laisse une note qui vous remercie pour votre patronage, ainsi qu'un flacon d'une étrange brasserie qui pourrait contenir le secret de sa prouesse littéraire ...;Der wandernde Skáld [FromFromFrom.GetFirstName] hat sich von deinem Hof bewegt und noch einmal auf die Straße gegangen. In seinen Kammern hinterlässt er Ihnen eine Notiz, die Ihnen für Ihre Schirmherrschaft danken wird, zusammen mit einer Phiole eines seltsamen Gebräu, die das Geheimnis seiner literarischen Tapferkeit halten könnte ...;;El Skáld errante [FromFromFrom.GetFirstName] ha trasladado de su corte, tomando a la carretera una vez más. En sus cámaras le deja una nota que le agradece por su patrocinio, junto con un frasco de una extraña cerveza que podría sostener el secreto de su proeza literaria ...;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20204;What does it do?;Qu'est ce que ça fait?;Was tut es?;;¿Qué hace?;;;;;;;;;x
## MJOLNIR ##
EVTTITLE_ROBMODNORSE_20301;Ancient Battlesite;Ancien site de bataille;Alte Schlachtstätte;;Antiguo sitio de batalla;;;;;;;;;x
EVTDESC_ROBMODNORSE_20301;Shepherds continually seek new pastures for their flock, and Hrodebert of the mountain-folk is no different. Seeing that a gorge had opened following a recent earth-tremor, he led his herd to the terrain beyond. And that’s when he saw it: an ancient battlesite strewn with strange weapons the like of which he’d never been seen before.\n\nAnd Hrodebert the Shepherd, being a pious man, reported this to his local Goði, who brought the matter to the Oðinshrafn’s attention.;Les bergers cherchent continuellement de nouveaux pâturages pour leur troupeau, et Hrodebert des montagnards n'est pas différent. En voyant qu'une gorge s'était ouverte suite à un récent tremblement de terre, il a mené son troupeau sur le terrain au-delà. Et c'est alors qu'il l'a vu: un ancien site de bataille jonché d'armes étranges dont il n'avait jamais été vu avant. Et Hrodebert le Berger, étant un homme pieux, l'a signalé à son Goði local, qui a apporté la question à la L'attention de Oginnshrafn.;Hirten suchen ständig neue Weiden für ihre Herde, und Hrodebert der Bergvölker ist nicht anders. Als er sah, dass sich eine Schlucht nach einem jüngsten Erden-Zittern eröffnet hatte, führte er seine Herde ins Gelände. Und das ist er, als er es sah: eine alte Schlachtstätte, die mit seltsamen Waffen bestreut war, von denen er noch nie zuvor gesehen worden war. Und Hrodebert, der Hirte, der ein frommer Mann war, berichtete dies an seinen örtlichen Goði, der die Sache an die Oðinshrafns Aufmerksamkeit;;Los pastores buscan continuamente nuevos pastos para su rebaño, y Hrodebert de la gente de la montaña no es diferente. Viendo que una garganta se había abierto después de un temblor de tierra reciente, condujo su manada al terreno más allá. Y fue entonces cuando lo vio: un antiguo campo de batalla sembrado de extrañas armas como las que nunca había visto antes. Y Hrodebert el Pastor, siendo un hombre piadoso, informó esto a su Goði local, quien trajo el asunto a la La atención de Oðinshrafn.;;;;;;;;;x
EVTOPTA_ROBMODNORSE_20301;Let us look into this ancient battlesite.;Examinons ce site de combat antique.;Lasst uns in diese alte Schlachtstätte schauen.;;Veamos este antiguo sitio de batalla.;;;;;;;;;x
EVTTOOLTIPA_ROBMODNORSE_20301;You convene your council;Vous convoquez votre conseil;Sie beraten Ihren Rat;;Usted convoca a su consejo;;;;;;;;;x
EVTDESC_ROBMODNORSE_20302;Your council is in session to discuss the ancient battlesite discovered by Hrodebert the Shepherd. On reading the reports from the locals, [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] insists that this is Vígríðr, battle-plane of the Gods, and must be preserved and explored by wisemen from amongst the Goðis. But your [Root.GetMarshalName] [Root.job_marshal.GetFirstName] scoffs at the suggestion, saying that the military advantages of studying the weapons found cannot be overlooked.;Votre conseil est en session pour discuter de l'ancien battlesite découvert par Hrodebert the Shepherd. En lisant les rapports des sections locales, [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] insiste sur le fait que c'est Vígríðr, le plan de bataille des Dieux, et doit être conservé et exploré par des Wisemen parmi les Goðis. Mais votre [Root.GetMarshalName] [Root.job_marshal.GetFirstName] se moque de la suggestion, en disant que les avantages militaires de l'étude des armes trouvées ne peuvent être négligés.;Ihr Rat ist in der Sitzung zu diskutieren, die alte Schlacht von Hrodebert der Hirte entdeckt. Beim Lesen der Berichte von den Einheimischen, [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] besteht darauf, dass dies ist Vígríðr, Schlacht-Ebene der Götter, und muss bewahrt und erforscht von Weisungen aus der Goðis. Aber dein [Root.GetMarshalName] [Root.job_marshal.GetFirstName] spottet auf den Vorschlag und sagt, dass die militärischen Vorteile des Studiums der gefundenen Waffen nicht übersehen werden können.;;Su consejo está en sesión para discutir el antiguo battlesite descubierto por Hrodebert el Pastor. Al leer los informes de los locales, [Root.GetLordSpiritualName] [Root.job_spiritual.GetFirstName] insiste en que se trata de Vígríðr, el plano de batalla de los dioses, y debe ser preservado y explorado por los sabios de entre los Goðis. Pero su [Root.GetMarshalName] [Root.job_marshal.GetFirstName] se burla de la sugerencia, diciendo que las ventajas militares de estudiar las armas encontradas no pueden pasarse por alto.;;;;;;;;;x
